,PRODUCT_NAME,PRODUCT_LINK,MRP,PRICE,DISCOUNT,DESCRIPTION,PRODUCT_RATING
10,"ANIKAA Helen Metal Side Table  (Finish Color - White, DIY(Do-It-Yourself))",https://www.flipkart.com/anikaa-helen-metal-side-table/p/itm2932cf2f539cb?pid=SITGREGKY38Q3HJH&lid=LSTSITGREGKY38Q3HJHZFXDKC&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_11&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRnYLld3kaxWtidgIuYpwXdXbO0VhmD6doY2QWfBOCV8Cg%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"10,999","6,999",36% off,Round| Width x Height: 46 x 48 cm (1 ft 6 in x 1 ft 6 in)| Suitable For: Living Room| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions,4.2
11,"Crystal Furnitech Elfin Engineered Wood Dressing Table  (Finish Color - , Wallnut + White, Knock Down)",https://www.flipkart.com/crystal-furnitech-elfin-engineered-wood-dressing-table/p/itm75c98e8d4a80e?pid=DTBEXHZQ4KPHJSRX&lid=LSTDTBEXHZQ4KPHJSRXH2L9TV&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_12&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRmjqy8hB77mrk_sNk1uOQMFnzr-n8sBKsVtjd6QJZOlCQ%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"12,343","9,499",23% off,Storage Included| W x H x D: 40 cm x 190 cm x 40 cm (1 ft 3 in x 6 ft 2 in x 1 ft 3 in)| Mirror W x H: 380 mm x 1330 mm| Finish Type: Polished | Finish Color: Wallnut + White| Knock Down - Delivered in non-assembled pieces| installation by service partner,4
12,"LavelX Multipurpose Foldable Table with Cup Holder, Study , Bed ,Table, Portable Wood Portable Laptop Table  (Finish Color - Flower Black, Pre Assembled)",https://www.flipkart.com/lavelx-multipurpose-foldable-table-cup-holder-study-bed-table-portable-wood-laptop/p/itmff62dc7eba4e1?pid=PLLGBZG4KFKJTFEZ&lid=LSTPLLGBZG4KFKJTFEZGXBHUO&marketplace=FLIPKART&q=tables&store=wwe&spotlightTagId=BestsellerId_wwe&srno=s_1_13&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.PLLGBZG4KFKJTFEZ.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,578",474,69% off,Primary Material: Wood| W x H x D: 60 cm x 28 cm x 40 cm (1 ft 11 in x 11 in x 1 ft 3 in)| Foldable,4
13,"AVI CREATION Multipurpose Foldable Table with Cup Holder, Study , Bed ,Table, Portable Metal Portable Laptop Table  (Finish Color - Black, Pre Assembled)",https://www.flipkart.com/avi-creation-multipurpose-foldable-table-cup-holder-study-bed-table-portable-metal-laptop/p/itmec327945e0f33?pid=PLLG7CJZYW9YP7WX&lid=LSTPLLG7CJZYW9YP7WXU7WTF6&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_14&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.PLLG7CJZYW9YP7WX.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,998,469,53% off,Primary Material: Metal| W x H x D: 59 cm x 28 cm x 39.3 cm (1 ft 11 in x 11 in x 1 ft 3 in)| Foldable,4.1
14,vPLANET Wood Portable Laptop Table  (Finish Color - Blue),https://www.flipkart.com/vplanet-wood-portable-laptop-table/p/itm24a7d34f39c6e?pid=PLLGEZV5V259QZYV&lid=LSTPLLGEZV5V259QZYVAEPSWZ&marketplace=FLIPKART&q=tables&store=wwe&spotlightTagId=BestsellerId_wwe&srno=s_1_15&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.PLLGEZV5V259QZYV.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,848",407,77% off,Primary Material: Wood| W x H x D: 40 cm x 27 cm x 60 cm (1 ft 3 in x 10 in x 1 ft 11 in)| Foldable,4.1
15,"Smarts collection Wooden Plant Stand for Balcony Living Room Indoor Outdoor Plant Stand Foldable Display Rack Storage Rack for Patio Garden Yard (3 Tier, Brown) Solid Wood Side Table  (Finish Color - brown, Pre-assembled)",https://www.flipkart.com/smarts-collection-wooden-plant-stand-balcony-living-room-indoor-outdoor-foldable-display-rack-storage-patio-garden-yard-3-tier-brown-solid-wood-side-table/p/itmb4f1374fefaf2?pid=SITG8VF5ZDFGYJJY&lid=LSTSITG8VF5ZDFGYJJYBWZNYH&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_16&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.SITG8VF5ZDFGYJJY.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,999,445,55% off,Free-Style| Width x Height: 60.96 x 34.29 cm (2 ft x 1 ft 1 in)| Suitable For: Living Room| Bedroom Furniture| Pre Assembled (Ready to Use),3.9
16,"LOONART Solid Sheesham Side Table With Storage For Bed Room / Living Room / Hotel. Solid Wood Bedside Table  (Finish Color - Honey Finish, Pre-assembled)",https://www.flipkart.com/loonart-solid-sheesham-side-table-storage-bed-room-living-hotel-wood-bedside/p/itm07f8aa55f1099?pid=SITGG2WYYNVBXWMG&lid=LSTSITGG2WYYNVBXWMGJ4LFYV&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_17&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRmyKEdovNijBQBUFW2wNCaKuAXHE42RUlbVP7xPNyI8qQ%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"9,999","3,832",61% off,Rectangular| Width x Height: 43 x 62 cm (1 ft 4 in x 2 ft)| Suitable For: Bedroom Furniture| Living Room| Storage Included| Pre Assembled (Ready to Use),4.1
17,"LOONART Solid Sheesham Wood / Rose Wood Bed Side table For Living Room / Bed Room. Solid Wood Bedside Table  (Finish Color - BROWN, Pre-assembled)",https://www.flipkart.com/loonart-solid-sheesham-wood-rose-bed-side-table-living-room-room-bedside/p/itme074ba52b2ab2?pid=SITGBYNBBGNVSXPC&lid=LSTSITGBYNBBGNVSXPCCPVY8O&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_18&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRmuzovwz6NLYeCxHudX-W8Bd8pBmpEL1d9Gn5SLhyEurg%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"7,999","3,966",50% off,Rectangular| Width x Height: 43 x 53 cm (1 ft 4 in x 1 ft 8 in)| Suitable For: Bedroom Furniture| Living Room| Storage Included| Pre Assembled (Ready to Use),3.9
18,"SearchForMerch MDF Bed side table DIY (Do it Yourself). Brown & Black Matte Finish Engineered Wood End Table  (Finish Color - Brown, DIY(Do-It-Yourself))",https://www.flipkart.com/searchformerch-mdf-bed-side-table-diy-do-yourself-brown-black-matte-finish-engineered-wood-end/p/itm425b48b523498?pid=SITG4HZZXPD2SGQF&lid=LSTSITG4HZZXPD2SGQF0YM2MJ&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_19&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.SITG4HZZXPD2SGQF.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,999",949,52% off,Rectangular| Width x Height: 50.8 x 45.72 cm (1 ft 8 in x 1 ft 6 in)| Suitable For: Bedroom Furniture| Living Room| Storage Included| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions,3.4
19,"GLORIEUX ART Beautiful Antique Wooden Fold-able Round Shape Solid Wood Side Table  (Finish Color - White, DIY(Do-It-Yourself))",https://www.flipkart.com/glorieux-art-beautiful-antique-wooden-fold-able-round-shape-solid-wood-side-table/p/itm85d4a9df3a9fa?pid=SITG64YZH8NYCERS&lid=LSTSITG64YZH8NYCERSOLHOON&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_20&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.SITG64YZH8NYCERS.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,998,599,39% off,Free-Style| Width x Height: 30 x 33 cm (11 in x 1 ft)| Suitable For: Living Room| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions,3.8
